muni_code,muni_name,pref_code,base_url,procurement_url,detection_method,confidence,score,page_title,kw_count,has_recent
063231,朝日町,06,https://www.town.asahi.yamagata.jp/,https://www.town.asahi.yamagata.jp/portal/business/nyusatsu_keiyaku/,db_url_path_dir,high,10,入札・契約／朝日町ホームページ トップページ,5,True
063240,大江町,06,https://www.town.oe.yamagata.jp/,https://www.town.oe.yamagata.jp/government/information-statistics/nyusatsu/,db_url_path_dir,high,10,令和7・8年度 山形県大江町入札参加資格申請 | 大江町,6,True
063410,大石田町,06,https://www.town.oishida.yamagata.jp/,https://www.town.oishida.yamagata.jp/chousei/nyuusatsu/index.html,homepage_link,high,10,入札・契約：大石田町公式ウェブサイト,5,True
063614,金山町,06,https://www.town.kaneyama.yamagata.jp/,https://www.town.kaneyama.yamagata.jp/kurashi/shigoto_sangyo/nyusatsu_keiyaku/index.html,homepage_link,high,10,入札・契約／四季奏でるまち。金山 - 山形県金山町公式ウェブサイト,5,True
063622,最上町,06,https://town.mogami.lg.jp/,https://town.mogami.lg.jp/admin/05nyuusatsu/,db_url_path_dir,high,10,入札・契約｜最上町役場,5,True
063630,舟形町,06,https://www.town.funagata.yamagata.jp/,https://www.town.funagata.yamagata.jp/li/shigoto/010/,db_title_dir,high,10,入札情報｜舟形町,4,True
063649,真室川町,06,https://www.town.mamurogawa.yamagata.jp/index.html,https://www.town.mamurogawa.yamagata.jp/shigoto_sangyo/nyusatsu/,db_url_path_dir,high,10,入札参加・発注情報／真室川町公式ホームページ,4,True
063657,大蔵村,06,https://www.vill.ohkura.yamagata.jp/,https://www.vill.ohkura.yamagata.jp/shigoto_sangyo/nyusatsu_keiyaku/,db_url_path_dir,high,5,入札・契約／大蔵村,2,False
063665,鮭川村,06,https://www.vill.sakegawa.yamagata.jp/,https://www.vill.sakegawa.yamagata.jp/business/nyusatsu/,homepage_link,high,7,入札情報 | 鮭川村,5,False
063673,戸沢村,06,https://www.vill.tozawa.yamagata.jp/,https://www.vill.tozawa.yamagata.jp/pages/343/,homepage_link,high,7,,4,True
063819,高畠町,06,https://www.town.takahata.yamagata.jp/,https://www.town.takahata.yamagata.jp/form/,db_title_dir,low,0,,0,False
063827,川西町,06,https://www.town.kawanishi.yamagata.jp/,https://www.town.kawanishi.yamagata.jp/nyusatsu/,db_url_path_dir,high,5,入札情報,2,False
064017,小国町,06,https://www.town.oguni.yamagata.jp/,https://www.town.oguni.yamagata.jp/soshiki/seibi/,db_title_dir,high,7,地域整備課 - 小国町ホームページ,3,True
064025,白鷹町,06,https://www.town.shirataka.lg.jp/,https://www.town.shirataka.lg.jp/1043.htm,homepage_link,high,10,入札情報｜白鷹町,3,True
064033,飯豊町,06,https://www.town.iide.yamagata.jp/,https://www.town.iide.yamagata.jp/013/nyuusatsukekka.html,homepage_link,high,10,山形県飯豊町／一般（指名）競争入札の結果の公表について,4,True
064262,三川町,06,https://www.town.mikawa.yamagata.jp/,https://www.town.mikawa.yamagata.jp/town/gyouzaisei/kanri/index.html,homepage_link,high,7,財政・財産管理：三川町公式サイト,5,True
064289,庄内町,06,https://www.town.shonai.lg.jp/,https://www.town.shonai.lg.jp/business/nyusatsu/,db_url_path_dir,high,7,入札・契約：庄内町公式ホームページ,4,False
064610,遊佐町,06,https://www.town.yuza.yamagata.jp/,https://www.town.yuza.yamagata.jp/genre/industry/tender,homepage_link,high,10,入札・契約 | 遊佐町公式サイト,6,True
072010,福島市,07,https://www.city.fukushima.fukushima.jp/,https://www.city.fukushima.fukushima.jp/soshiki/4/1011/1/1/3612.html,homepage_link,high,10,福島市電子入札ポータルサイト／福島市公式ホームページ,11,True
072028,会津若松市,07,https://www.city.aizuwakamatsu.fukushima.jp/,https://www.city.aizuwakamatsu.fukushima.jp/docs/2017013000017/,homepage_link,high,10,特定随意契約に関する公表 | 会津若松市,4,True
072036,郡山市,07,https://www.city.koriyama.lg.jp/,https://www.city.koriyama.lg.jp/site/keiyakuportal/,homepage_link,high,10,入札・契約関連情報 - 郡山市公式ウェブサイト,10,True
072044,いわき市,07,https://www.city.iwaki.lg.jp/www/index.html,https://www.city.iwaki.lg.jp/www/contents/1598399205029/,db_title_dir,high,7,令和２年９月公告分｜いわき市役所,7,False
072052,白河市,07,https://www.city.shirakawa.fukushima.jp/,https://www.city.shirakawa.fukushima.jp/page/page010632.html,homepage_link,high,10,白河市キャリアサポート事業支援業務委託及びキャリアサポートステーションしらかわ運営業務委託公募型プロポーザルの参加事業者を募集します&nbsp;|&nbsp;白河市公式ホームページ,3,True
072079,須賀川市,07,https://www.city.sukagawa.fukushima.jp/,https://www.city.sukagawa.fukushima.jp/jigyosya/index.html,homepage_link,high,7,事業者の方へ / 須賀川市公式ホームページ,3,True
072087,喜多方市,07,https://www.city.kitakata.fukushima.jp/,https://www.city.kitakata.fukushima.jp/life/2/12/,homepage_link,high,10,入札・契約 - 喜多方市ホームページ,8,True
072095,相馬市,07,https://www.city.soma.fukushima.jp/,https://www.city.soma.fukushima.jp/shigoto_sangyo/nyusatsu_keiyaku/,db_url_path_dir,high,10,入札・契約／相馬市公式ホームページ,7,True
072109,二本松市,07,https://www.city.nihonmatsu.lg.jp/,https://www.city.nihonmatsu.lg.jp/shigoto_sangyo/nyu_keiyaku/index.html,homepage_link,high,10,入札・契約情報&nbsp;|&nbsp;二本松市公式ウェブサイト,5,True
072117,田村市,07,https://www.city.tamura.lg.jp/,https://www.city.tamura.lg.jp/soshiki/3/nyusatsu-result24_1_1_1_1_1_1_1_1_1_1.html,db_url_path,high,10,入札結果 - 田村市ホームページ,6,True
072125,南相馬市,07,https://www.city.minamisoma.lg.jp/,https://www.city.minamisoma.lg.jp/portal/business/nyusatsu_keiyaku/,db_url_path_dir,high,10,入札・契約／南相馬市公式ウェブサイト -Minamisoma City-,3,True
072133,伊達市,07,https://www.city.fukushima-date.lg.jp/,https://www.city.fukushima-date.lg.jp/life/4/22/,db_title_dir,high,10,入札・契約情報 - 福島県伊達市公式ホームページ,5,True
072141,本宮市,07,https://www.city.motomiya.lg.jp/,https://www.city.motomiya.lg.jp/life/5/22/,homepage_link,high,10,入札・契約 - 本宮市公式ホームページ,7,True
073016,桑折町,07,https://www.town.koori.fukushima.jp/,https://www.town.koori.fukushima.jp/soshiki/3/5492.html,homepage_link,high,8,もっと桃っと！KOORIブランドプロモーション事業業務委託公募型プロポーザル実施について - 桑折町ホームページ（総合政策課）,2,True
073032,国見町,07,https://www.town.kunimi.fukushima.jp/,https://www.town.kunimi.fukushima.jp/soshiki/1/19827.html,homepage_link,high,10,令和7年度 入札結果の公表(競争入札) - 国見町ホームページ,5,True
073083,川俣町,07,https://www.town.kawamata.lg.jp/,https://www.town.kawamata.lg.jp/site/nyusatsu-keiyaku/list142.html,homepage_link,high,7,入札・契約に関するお知らせ - 入札・契約情報 - 川俣町公式ホームページ,3,False
073229,大玉村,07,https://www.vill.otama.fukushima.jp/,https://www.vill.otama.fukushima.jp/shigoto_sangyou/nyuusatu_keiyaku/,homepage_link,high,10,入札・契約情報 | 仕事・産業 | 福島県大玉村ホームページ,6,True
073423,鏡石町,07,https://www.town.kagamiishi.fukushima.jp/,https://www.town.kagamiishi.fukushima.jp/nyusatu/index.html,homepage_link,high,10,入札情報 | 鏡石町公式ホームページ[福島県],3,True
073440,天栄村,07,https://www.vill.tenei.fukushima.jp/,https://www.vill.tenei.fukushima.jp/site/denshinyusatsu/,db_url_path_dir,high,10,電子入札ポータルサイト - 天栄村ホームページ,7,True
073628,下郷町,07,https://www.town.shimogo.fukushima.jp/,https://www.town.shimogo.fukushima.jp/life/sonota/410.html,db_title,high,8,障がい者就労施設等からの物品等の調達方針／いで湯と渓谷の里 下郷町,2,True
073644,檜枝岐村,07,https://www.vill.hinoemata.lg.jp/,https://www.vill.hinoemata.lg.jp/sangyo/shinko/000229.html,homepage_link,high,6,入札|福島県檜枝岐村役場,1,True
073679,只見町,07,https://www.town.tadami.lg.jp/,https://www.town.tadami.lg.jp/bid/index.html,homepage_link,high,10,入札｜只見町公式ホームページ｜福島県,5,True
073687,南会津町,07,https://www.town.minamiaizu.lg.jp/index.html,https://www.town.minamiaizu.lg.jp/official/choseijoho/nyusatsu/,db_url_path_dir,high,8,入札・電子契約／南会津町,2,True
074020,北塩原村,07,https://www.vill.kitashiobara.fukushima.jp/,https://www.vill.kitashiobara.fukushima.jp/life/6/28/,homepage_link,high,10,入札関連 - 北塩原村ホームページ,4,True
074055,西会津町,07,https://www.town.nishiaizu.fukushima.jp/,https://www.town.nishiaizu.fukushima.jp/soshiki/4/,db_title_dir,high,7,福祉介護課 - 西会津町公式ホームページ,4,True
074071,磐梯町,07,https://www.town.bandai.fukushima.jp/,https://www.town.bandai.fukushima.jp/soshiki/kensetsu/keiyakukaijo20260303.html,homepage_link,high,10,磐梯町発注工事の設計書積算誤りによる仮契約解除について - 磐梯町ホームページ,7,True
074080,猪苗代町,07,https://www.town.inawashiro.fukushima.jp/,https://www.town.inawashiro.fukushima.jp/life/4/14/,db_title,high,10,入札関連 - 猪苗代町ホームページ,4,True
074217,会津坂下町,07,https://www.town.aizubange.fukushima.jp/,https://www.town.aizubange.fukushima.jp/life/5/26/,homepage_link,high,8,入札情報 - 会津坂下町,2,True
074225,湯川村,07,https://www.vill.yugawa.fukushima.jp/,https://www.vill.yugawa.fukushima.jp/site/gyousei-top/info-nyusatu.html,homepage_link,high,10,入札情報 - 行政情報 - 湯川村ホームページ,6,True
074233,柳津町,07,https://www.town.yanaizu.fukushima.jp/,https://www.town.yanaizu.fukushima.jp/categories/bunya/nyusatsu/,db_url_path_dir,high,8,入札 | 赤べこ伝説発祥の地柳津町,1,True
074446,三島町,07,https://www.town.mishima.fukushima.jp/,https://www.town.mishima.fukushima.jp/life/5/26/,homepage_link,high,8,入札関連 - 三島町ホームページ,2,True
074454,金山町,07,https://www.town.kaneyama.fukushima.jp/,https://www.town.kaneyama.fukushima.jp/soshiki/19/,db_title_dir,high,7,総務係 - 福島県金山町公式ホームページ 自然の恵みと笑顔あふれる かねやま,4,True
074462,昭和村,07,https://www.vill.showa.fukushima.jp/,https://www.vill.showa.fukushima.jp/procedure/,db_title_dir,high,7,村暮らし・お手続き｜からむし織の里 福島県昭和村ホームページ - 大沼郡,5,True
074470,会津美里町,07,https://www.town.aizumisato.fukushima.jp/,https://www.town.aizumisato.fukushima.jp/soshiki/1008/1/7/3/nyusatsusankasikakusyameibonokouhyou/,db_url_path_dir,high,8,入札参加資格者名簿の公表／会津美里町,2,True
074616,西郷村,07,https://www.vill.nishigo.fukushima.jp/,https://www.vill.nishigo.fukushima.jp/important/5784.html,homepage_link,high,10,(終了)【公募型プロポーザル】西郷村第11次高齢者保健福祉計画・第10期介護保険事業計画策定業務委託／西郷村,3,True
074640,泉崎村,07,https://www.vill.izumizaki.fukushima.jp/,https://www.vill.izumizaki.fukushima.jp/kosodate-kenko-fukushi/news/page001943.html,homepage_link,high,8,泉崎村放課後児童クラブ及び放課後子ども教室運営業務委託プロポーザルの実施について（審査結果追記）&nbsp;|&nbsp;泉崎村公式ホームページ,2,True
074659,中島村,07,https://www.vill-nakajima.jp/,https://www.vill-nakajima.jp/page/page001413.html,homepage_link,high,10,入札参加資格&nbsp;|&nbsp;中島村公式ホームページ,6,True
074667,矢吹町,07,https://www.town.yabuki.fukushima.jp/,https://www.town.yabuki.fukushima.jp/page/page011611.html,homepage_link,high,10,矢吹町競争入札心得について&nbsp;|&nbsp;矢吹町公式ホームページ,6,True
074810,棚倉町,07,https://www.town.tanagura.fukushima.jp/,https://www.town.tanagura.fukushima.jp/search.php?keyword=%E5%85%A5%E6%9C%AD,homepage_link,high,7,サイト内検索 結果一覧&nbsp;|&nbsp;棚倉町公式ホームページ,7,True
074829,矢祭町,07,https://www.town.yamatsuri.fukushima.jp/,https://www.town.yamatsuri.fukushima.jp/page/dir000091.html,db_title,high,10,入札・契約&nbsp;|&nbsp;矢祭町公式ホームページ,4,True
074837,塙町,07,https://www.town.hanawa.fukushima.jp/,https://www.town.hanawa.fukushima.jp/page/page002356.html,db_title,high,8,【公募型プロポーザル】庶務管理システム導入及び保守業務委託事業&nbsp;|&nbsp;塙町公式ホームページ,2,True
074845,鮫川村,07,https://www.vill.samegawa.fukushima.jp/,https://www.vill.samegawa.fukushima.jp/page/page001047.html,db_title,high,10,鮫川村工事等指名競争入札心得&nbsp;|&nbsp;鮫川村公式ホームページ,6,True
075019,石川町,07,https://www.town.ishikawa.fukushima.jp/,https://www.town.ishikawa.fukushima.jp/admin/admin/03/electronic-bidding.html,db_url_path,high,10,電子入札ポータルサイト｜石川町,8,True
075027,玉川村,07,https://www.vill.tamakawa.fukushima.jp/,https://www.vill.tamakawa.fukushima.jp/guide/region/000225.html,db_title,high,6,民法の改正に伴う給水契約の定型約款について｜玉川村,1,True
